# Radiation correction v2.4. Params: lat=43.2496, lon=-87.7279, utc_time=2023-09-14 17:41
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
3240, 673.98, 3.72, 26.0, 5.74, 323.9
3260, 672.33, 3.39, 25.9, 5.93, 323.6
3280, 670.68, 3.11, 25.8, 6.09, 324.3
3300, 669.03, 2.93, 25.7, 6.32, 323.8
3320, 667.39, 2.84, 24.5, 6.64, 320.2
3340, 665.75, 2.99, 20.7, 6.95, 315.8
3360, 664.12, 2.97, 17.0, 7.15, 313.0
3380, 662.48, 2.88, 15.0, 7.26, 311.6
3400, 660.86, 3.03, 13.1, 7.17, 310.7
3420, 659.23, 3.30, 11.9, 6.98, 310.9
3440, 657.61, 3.22, 11.3, 6.79, 310.9
3460, 656.00, 2.90, 10.5, 6.78, 311.1
3480, 654.38, 2.62, 10.2, 6.82, 313.3
3500, 652.77, 2.44, 10.1, 6.93, 315.3
3520, 651.16, 2.35, 10.5, 6.94, 315.8
3540, 649.55, 2.23, 11.5, 6.84, 313.1
3560, 647.95, 2.10, 12.3, 6.62, 309.8
3580, 646.35, 2.00, 12.7, 6.47, 306.6
3600, 644.76, 1.93, 13.1, 6.30, 303.7
3620, 643.16, 1.79, 13.6, 6.25, 297.8
3640, 641.58, 1.66, 13.9, 6.32, 295.4
3660, 639.99, 1.58, 13.8, 6.58, 298.0
3680, 638.41, 1.50, 13.6, 6.87, 299.7
3700, 636.83, 1.61, 13.0, 7.46, 299.9
3720, 635.26, 1.53, 12.3, 7.84, 300.8
3740, 633.69, 1.29, 12.0, 8.22, 302.4
3760, 632.12, 1.21, 12.0, 8.33, 301.4
3780, 630.55, 1.19, 12.2, 8.40, 299.5
3800, 628.99, 1.18, 12.8, 8.43, 296.8
3820, 627.43, 0.98, 14.2, 8.43, 294.5
3840, 625.88, 0.67, 15.2, 8.37, 293.5
3860, 624.33, 0.37, 16.0, 8.31, 293.5
3880, 622.77, 0.17, 16.6, 8.22, 294.3
3900, 621.23, 0.09, 16.9, 8.16, 294.3
3920, 619.68, 0.09, 17.0, 8.13, 293.8
3940, 618.14, 0.02, 16.8, 8.07, 293.5
3960, 616.60, -0.29, 16.7, 8.07, 294.9
3980, 615.07, -0.68, 16.7, 8.13, 296.8
4000, 613.53, -0.88, 16.3, 8.19, 298.3
4020, 612.00, -0.93, 15.6, 8.25, 299.5
4040, 610.48, -1.01, 14.8, 8.27, 300.0
4060, 608.95, -1.15, 14.1, 8.21, 300.1
4080, 607.43, -1.35, 14.2, 8.08, 299.1
4100, 605.91, -1.67, 14.4, 8.04, 297.7
4120, 604.40, -1.96, 14.6, 7.97, 298.2
4140, 602.88, -2.16, 14.9, 8.02, 298.4
4160, 601.37, -2.41, 15.3, 8.09, 298.4
4180, 599.86, -2.56, 15.5, 8.23, 298.6
4200, 598.36, -2.53, 15.7, 8.34, 299.4
4220, 596.86, -2.36, 16.0, 8.46, 300.6
4240, 595.36, -2.23, 16.1, 8.59, 300.4
4260, 593.86, -2.45, 16.1, 8.66, 300.4
4280, 592.37, -2.82, 16.0, 8.73, 300.6
4300, 590.88, -3.38, 15.8, 8.75, 302.2
4320, 589.39, -3.45, 15.1, 8.76, 302.8
4340, 587.91, -3.35, 14.4, 8.67, 302.0
4360, 586.43, -3.59, 13.6, 8.68, 300.8
4380, 584.95, -4.06, 13.3, 8.71, 299.7
4400, 583.48, -4.26, 13.2, 8.74, 299.6
4420, 582.00, -4.25, 13.2, 8.75, 299.4
4440, 580.53, -4.07, 13.4, 8.73, 298.9
4460, 579.07, -4.24, 13.9, 8.79, 299.6
4480, 577.60, -4.61, 14.4, 8.86, 300.2
4500, 576.14, -4.79, 14.8, 9.04, 300.4
4520, 574.68, -5.05, 15.2, 9.23, 300.4
4540, 573.22, -5.35, 15.4, 9.42, 301.3
4560, 571.77, -5.41, 15.3, 9.54, 302.0
4580, 570.32, -5.34, 15.1, 9.64, 301.5
4600, 568.87, -5.38, 15.0, 9.77, 299.8
4620, 567.43, -5.70, 14.8, 9.95, 298.1
4640, 565.99, -5.92, 14.6, 10.09, 297.8
4660, 564.55, -5.91, 14.4, 10.24, 299.2
4680, 563.12, -5.86, 14.1, 10.23, 299.9
4700, 561.69, -5.75, 14.0, 10.20, 300.2
